"","Sex","Whole.wt","Shucked.wt","Viscera.wt"
"1","M",0.2255,0.0995,0.0485
"2","F",0.677,0.2565,0.1415
"3","M",0.516,0.2155,0.114
"6","F",0.7775,0.237,0.1415
"7","F",0.768,0.294,0.1495
"8","M",0.5095,0.2165,0.1125
"9","F",0.8945,0.3145,0.151
"10","F",0.6065,0.194,0.1475
"11","M",0.406,0.1675,0.081
"12","M",0.5415,0.2175,0.095
"13","F",0.6845,0.2725,0.171
"14","F",0.4755,0.1675,0.0805
"15","M",0.6645,0.258,0.133
"17","F",0.451,0.188,0.087
"18","M",0.2555,0.097,0.043
"19","M",0.381,0.1705,0.075
"20","M",0.2455,0.0955,0.062
"22","F",0.9395,0.4275,0.214
"23","F",0.7635,0.318,0.21
"24","F",1.1615,0.513,0.301
"25","F",0.9285,0.3825,0.188
"26","F",0.9955,0.3945,0.272
"27","M",0.931,0.356,0.234
"28","M",0.9365,0.394,0.219
"29","M",0.8635,0.393,0.227
"30","M",0.9975,0.3935,0.242
"31","F",1.639,0.6055,0.2805
"32","M",1.338,0.5515,0.3575
"33","F",1.798,0.815,0.3925
"34","F",1.7095,0.633,0.4115
"35","M",0.4795,0.227,0.124
"36","F",1.217,0.5305,0.3075
"37","F",0.5225,0.237,0.1165
"38","F",0.883,0.381,0.2035
"39","M",0.3275,0.134,0.086
"40","F",0.425,0.1865,0.091
"41","F",0.8515,0.362,0.196
"46","M",0.5795,0.293,0.227
"47","F",0.4605,0.1775,0.11
"49","F",0.8355,0.3545,0.2135
"51","M",0.303,0.1335,0.06
"52","M",0.5415,0.2595,0.096
"53","F",0.4775,0.2105,0.1055
"54","M",0.385,0.173,0.0915
"55","F",0.6615,0.2565,0.1755
"56","M",0.4425,0.192,0.0955
"57","M",0.5895,0.2765,0.12
"59","F",0.583,0.246,0.13
"60","M",0.4115,0.18,0.1125
"61","M",0.625,0.305,0.16
"62","F",0.6965,0.302,0.1935
"63","M",0.3785,0.1705,0.08
"64","M",0.58,0.234,0.1315
"65","M",0.48,0.234,0.1015
"66","F",0.915,0.354,0.1935
"67","F",1.285,0.416,0.224
"68","F",0.5305,0.2135,0.1155
"70","M",0.7665,0.264,0.168
"71","F",0.353,0.1405,0.0985
"72","F",1.247,0.48,0.225
"73","M",1.185,0.474,0.261
"74","F",1.098,0.481,0.2895
"75","F",1.0075,0.4425,0.221
"76","M",0.944,0.3625,0.189
"77","F",0.922,0.363,0.194
"78","F",0.788,0.282,0.1595
"79","F",1.1025,0.4695,0.2355
"80","F",0.941,0.3845,0.252
"81","M",1.615,0.5105,0.192
"82","F",0.9885,0.396,0.225
"83","M",1.3175,0.408,0.234
"84","M",1.013,0.38,0.216
"85","F",1.295,0.339,0.2225
"86","M",1.195,0.4825,0.205
"87","M",0.8645,0.3305,0.2075
"88","F",0.517,0.2205,0.114
"89","F",0.9775,0.3135,0.231
"90","M",0.8115,0.341,0.1675
"91","M",0.755,0.307,0.1525
"92","M",1.115,0.4015,0.254
"93","F",1.262,0.507,0.318
"94","M",1.494,0.588,0.3425
"95","M",1.606,0.5755,0.388
"96","M",0.725,0.269,0.1385
"97","M",0.523,0.214,0.132
"98","M",0.5225,0.201,0.133
"99","F",0.5785,0.2775,0.085
"101","M",0.843,0.328,0.1915
"102","M",0.883,0.316,0.164
"103","M",0.724,0.3105,0.1675
"104","M",1.1735,0.4975,0.2405
"105","F",0.727,0.291,0.1835
"106","F",0.802,0.2935,0.183
"107","F",0.6675,0.261,0.1315
"108","F",0.6335,0.231,0.179
"109","F",0.3635,0.136,0.098
"110","M",0.5415,0.2375,0.1345
"111","M",0.431,0.172,0.107
"113","M",0.393,0.13,0.063
"114","F",0.6935,0.2975,0.146
"115","F",0.5915,0.233,0.1585
"116","F",0.6125,0.2555,0.102
"117","M",0.402,0.1305,0.0955
"118","F",0.8825,0.3465,0.172
"119","M",0.2605,0.1145,0.0595
"120","F",0.4205,0.163,0.1035
"122","F",0.766,0.304,0.1725
"123","M",0.214,0.09,0.051
"128","M",1.7255,0.63,0.2635
"129","M",1.959,0.7665,0.261
"130","M",1.262,0.4835,0.283
"131","F",0.4035,0.175,0.063
"132","F",0.1915,0.085,0.036
"135","F",0.406,0.1635,0.081
"136","F",0.156,0.0675,0.0345
"137","M",0.2005,0.094,0.0295
"138","F",0.3555,0.151,0.063
"139","M",0.253,0.096,0.0575
"140","F",0.826,0.341,0.2055
"141","F",0.741,0.295,0.1435
"142","M",1.3445,0.519,0.306
"143","M",0.797,0.34,0.19
"144","M",0.5175,0.2075,0.1165
"145","F",0.549,0.245,0.1075
"146","M",0.515,0.224,0.108
"150","M",1.053,0.4415,0.262
"151","F",1.1185,0.469,0.2585
"152","F",1.3715,0.5065,0.305
"153","F",1.0565,0.37,0.2355
"154","F",0.9885,0.387,0.1495
"155","M",0.722,0.32,0.131
"156","F",0.994,0.392,0.2425
"157","M",1.514,0.546,0.2615
"158","F",0.9075,0.374,0.2135
"159","F",1.124,0.2985,0.1785
"160","M",1.056,0.4215,0.2475
"161","F",1.222,0.53,0.2575
"162","M",1.2445,0.544,0.297
"163","F",2.141,0.65,0.398
"164","F",1.752,0.5605,0.2895
"165","M",2.55,1.0705,0.483
"166","F",2.124,0.765,0.4515
"167","F",1.842,0.625,0.408
"168","M",1.981,0.8175,0.3085
"169","F",1.6185,0.5125,0.409
"170","M",1.9565,0.7125,0.541
"171","F",0.775,0.308,0.169
"172","M",1.065,0.486,0.233
"173","F",0.776,0.32,0.1845
"179","M",0.97,0.385,0.2165
"180","M",0.9395,0.399,0.2
"181","M",1.368,0.515,0.266
"182","F",1.0235,0.429,0.268
"183","F",1.0165,0.4355,0.214
"184","F",1.5675,0.621,0.367
"185","M",1.218,0.5455,0.2965
"186","F",1.0525,0.392,0.336
"187","F",1.383,0.54,0.3315
"188","F",1.199,0.5265,0.335
"189","F",0.9325,0.365,0.271
"190","M",1.1595,0.4845,0.2165
"191","M",1.0225,0.419,0.2405
"192","M",0.927,0.276,0.1815
"194","F",0.8145,0.459,0.1965
"195","M",0.772,0.346,0.1535
"196","F",0.644,0.285,0.145
"197","M",1.3035,0.4445,0.2635
"198","M",0.922,0.432,0.178
"199","M",0.922,0.3635,0.213
"200","F",0.4165,0.1655,0.095
"201","M",0.825,0.254,0.205
"202","F",0.63,0.234,0.1465
"203","F",0.8155,0.2985,0.155
"204","M",0.369,0.171,0.071
"205","F",0.482,0.186,0.1085
"208","F",0.8325,0.2755,0.1685
"210","F",0.6345,0.1995,0.1625
"211","M",0.181,0.0755,0.0415
"212","F",0.38,0.1595,0.0785
"213","M",0.6155,0.241,0.1355
"214","F",0.66,0.2475,0.128
"215","M",0.8025,0.244,0.1635
"216","M",0.46,0.174,0.111
"218","M",0.501,0.1665,0.115
"219","F",0.32,0.1305,0.0755
"220","F",0.455,0.1785,0.1125
"221","F",0.5175,0.187,0.1235
"222","F",0.5755,0.22,0.144
"223","F",0.485,0.181,0.125
"225","F",0.45,0.1715,0.1055
"226","F",0.3055,0.121,0.082
"228","F",1.1015,0.404,0.2095
"229","F",0.783,0.2935,0.158
"230","M",0.836,0.336,0.1625
"231","M",0.9025,0.31,0.193
"232","M",1.4455,0.496,0.287
"240","M",0.9425,0.3495,0.2185
"251","M",1.1235,0.4205,0.2805
"252","F",1.0605,0.5135,0.2165
"253","F",1.094,0.4485,0.217
"254","M",1.2415,0.485,0.2775
"255","M",1.011,0.3835,0.2065
"256","M",1.07,0.3805,0.175
"257","M",0.8975,0.341,0.1655
"258","F",1.415,0.605,0.297
"259","F",1.1015,0.4775,0.2555
"260","F",0.928,0.394,0.194
"261","F",0.865,0.3675,0.1725
"262","M",0.8945,0.319,0.239
"264","M",0.1205,0.0465,0.028
"265","F",0.639,0.3,0.1525
"266","M",0.895,0.3615,0.186
"267","M",0.2925,0.1225,0.0635
"268","M",0.6355,0.2185,0.0885
"269","F",0.4995,0.2035,0.1
"270","F",1.779,0.4535,0.2855
"271","M",1.187,0.412,0.2705
"272","M",1.219,0.3875,0.2505
"273","M",1.525,0.56,0.3335
"274","M",1.259,0.4105,0.197
"275","M",1.844,0.7425,0.327
"276","F",1.3485,0.493,0.245
"277","M",1.642,0.532,0.3345
"278","M",1.484,0.55,0.3115
"279","F",0.712,0.2665,0.1605
"280","F",0.8415,0.314,0.1585
"282","F",0.4495,0.177,0.104
"283","M",0.6295,0.2285,0.127
"284","M",0.9565,0.325,0.158
"285","F",0.879,0.295,0.1965
"286","M",0.699,0.288,0.1595
"287","F",0.6445,0.242,0.1325
"288","M",0.4775,0.132,0.0815
"289","F",0.8105,0.3155,0.1795
"290","M",0.996,0.3835,0.226
"291","F",1.2765,0.501,0.279
"292","M",1.116,0.428,0.2205
"293","F",1.013,0.342,0.207
"294","M",1.0575,0.384,0.19
"298","M",0.549,0.2215,0.1275
"299","M",0.234,0.0905,0.0585
"300","F",0.3485,0.1455,0.0895
"301","F",0.892,0.322,0.174
"302","M",0.252,0.1065,0.0595
"303","M",0.217,0.0885,0.0495
"304","F",0.472,0.182,0.114
"307","M",1.5415,0.471,0.369
"308","M",0.7605,0.2505,0.1635
"309","M",0.9055,0.3925,0.2355
"310","F",1.2435,0.4635,0.3055
"311","M",0.971,0.443,0.2045
"312","M",1.3305,0.4595,0.3235
"313","F",1.2255,0.381,0.27
"314","M",1.3,0.4335,0.2945
"316","F",1.242,0.576,0.2475
"317","M",0.3675,0.1465,0.1015
"318","F",0.8365,0.315,0.1385
"322","M",0.2845,0.1065,0.075
"324","M",0.222,0.0935,0.056
"327","M",0.6435,0.27,0.1665
"328","M",0.241,0.0865,0.053
"330","M",0.5955,0.2135,0.161
"331","F",0.3185,0.134,0.0565
"334","F",1.974,0.598,0.4085
"335","M",1.3415,0.5705,0.3175
"336","M",1.0875,0.403,0.2655
"337","M",1.283,0.473,0.276
"338","M",1.325,0.6045,0.325
"339","F",1.0035,0.406,0.2505
"340","M",1.165,0.581,0.2275
"341","F",1.3475,0.4775,0.2565
"342","M",1.274,0.579,0.3065
"343","F",0.568,0.2325,0.1495
"344","F",0.746,0.3005,0.152
"345","M",0.707,0.2795,0.2185
"346","F",0.756,0.2745,0.173
"349","M",1.2,0.56,0.2455
"350","F",1.153,0.536,0.2905
"351","F",0.8685,0.3325,0.1635
"352","M",0.9535,0.4465,0.2065
"353","M",0.93,0.408,0.259
"354","M",1.275,0.509,0.286
"355","M",2.13,0.7415,0.49
"356","M",1.587,0.6935,0.336
"357","F",1.8085,0.7035,0.3885
"358","M",2.499,0.9265,0.472
"359","F",1.768,0.7495,0.392
"360","M",1.227,0.48,0.287
"361","F",0.997,0.392,0.246
"362","F",1.4225,0.61,0.2995
"363","F",1.029,0.4085,0.2705
"364","F",1.186,0.4985,0.3015
"365","M",1.016,0.4215,0.244
"366","M",0.887,0.4405,0.1655
"367","F",1.0735,0.479,0.2735
"368","M",1.13,0.458,0.2765
"369","F",1.719,0.68,0.299
"370","F",1.566,0.6645,0.3455
"371","F",1.7605,0.692,0.3265
"372","F",1.787,0.585,0.453
"373","F",1.31,0.5095,0.314
"374","M",1.343,0.4635,0.292
"375","F",1.7345,0.6845,0.3695
"376","M",1.1775,0.4935,0.3365
"377","F",1.077,0.4995,0.2875
"378","M",0.995,0.3895,0.183
"379","F",1.1085,0.3705,0.3135
"380","M",1.1405,0.3755,0.2805
"381","M",0.791,0.33,0.189
"382","M",0.663,0.313,0.137
"383","M",0.5565,0.226,0.122
"384","M",0.8445,0.373,0.21
"385","F",0.4925,0.216,0.1245
"386","M",0.7385,0.3515,0.152
"387","M",0.482,0.207,0.1225
"388","M",0.609,0.239,0.1435
"391","M",0.593,0.277,0.115
"392","F",0.5615,0.252,0.137
"396","F",0.7155,0.3165,0.176
"397","M",0.5865,0.2385,0.144
"398","M",0.6765,0.256,0.139
"399","M",0.987,0.4355,0.2075
"400","F",0.5885,0.27,0.131
"401","M",0.7225,0.295,0.1625
"402","F",0.4335,0.178,0.0985
"403","F",0.6935,0.3115,0.152
"405","F",0.8425,0.3685,0.1985
"406","M",0.479,0.2125,0.1045
"407","M",0.911,0.39,0.182
"408","M",0.915,0.4,0.246
"409","M",0.827,0.3395,0.2215
"410","M",1.1045,0.4565,0.2425
"411","M",0.945,0.41,0.2115
"412","F",0.9935,0.4625,0.2385
"413","M",0.8565,0.3475,0.1715
"414","F",1.2385,0.528,0.2465
"415","F",1.0325,0.3605,0.224
"416","F",1.3135,0.5595,0.267
"417","M",1.352,0.488,0.349
"418","F",1.005,0.367,0.199
"419","M",0.625,0.223,0.16
"420","F",1.5015,0.518,0.358
"422","F",0.5785,0.2465,0.123
"425","M",1.068,0.425,0.203
"426","F",1.0915,0.3935,0.2435
"427","M",1.015,0.3995,0.1735
"428","F",0.943,0.344,0.129
"429","F",1.0475,0.3775,0.1705
"430","F",0.9555,0.38,0.1665
"431","M",1.036,0.4375,0.196
"432","M",0.9065,0.342,0.156
"433","M",0.7505,0.2475,0.13
"435","M",0.662,0.2815,0.137
"438","M",0.3055,0.143,0.0645
"439","M",0.6885,0.249,0.138
"442","F",0.85,0.275,0.1625
"444","F",0.3635,0.159,0.077
"445","F",0.714,0.283,0.129
"446","M",0.9815,0.329,0.136
"447","M",0.9265,0.354,0.1575
"448","M",1.098,0.4765,0.232
"449","F",0.8205,0.365,0.159
"450","M",1.891,0.6975,0.4725
"451","F",1.41,0.592,0.3175
"452","F",1.4385,0.581,0.354
"453","F",0.9245,0.405,0.2195
"454","F",1.2915,0.57,0.3045
"455","M",0.8375,0.3485,0.1735
"456","F",1.221,0.51,0.259
"459","F",0.7085,0.293,0.1525
"460","M",0.2665,0.115,0.061
"461","F",0.9915,0.3865,0.224
"466","F",1.3905,0.5425,0.3035
"467","M",1.388,0.567,0.2735
"468","F",1.7445,0.5975,0.305
"469","M",1.4385,0.545,0.2665
"470","F",0.7835,0.313,0.1715
"471","F",0.646,0.2895,0.1405
"473","F",0.627,0.2645,0.1415
"474","F",0.7715,0.272,0.1455
"475","M",0.7395,0.261,0.1395
"476","F",0.421,0.1565,0.091
"477","M",1.347,0.4955,0.254
"478","M",1.756,0.637,0.3405
"479","M",1.32,0.5305,0.2635
"480","F",1.8075,0.7055,0.3215
"481","M",0.9325,0.3605,0.2445
"482","M",0.849,0.3785,0.1765
"483","F",0.9955,0.429,0.212
"484","M",1.0115,0.4235,0.237
"485","F",0.908,0.381,0.1615
"486","M",0.92,0.378,0.2385
"487","F",1.2415,0.5235,0.3065
"488","M",0.8075,0.3485,0.1795
"489","F",1.0595,0.44,0.2195
"490","M",1.073,0.475,0.19
"491","M",0.921,0.357,0.181
"492","F",1.2895,0.5345,0.2855
"493","M",1.2635,0.486,0.2635
"494","M",1.369,0.5875,0.2185
"495","F",0.953,0.3445,0.2235
"496","F",1.248,0.4245,0.2595
"497","F",1.0105,0.435,0.209
"498","F",1.0385,0.427,0.2315
"499","M",0.874,0.3275,0.202
"500","F",0.854,0.3665,0.1635
"501","F",1.1835,0.378,0.27
"502","F",1.115,0.378,0.2145
"503","F",1.129,0.4385,0.256
"504","F",1.1745,0.4385,0.2305
"505","M",1.105,0.4865,0.247
"506","M",0.8395,0.3325,0.157
"507","M",1.055,0.3815,0.221
"508","M",0.889,0.36,0.204
"511","F",0.5185,0.221,0.1265
"512","F",0.6725,0.249,0.181
"513","M",0.146,0.061,0.0365
"514","F",0.08,0.031,0.0215
"515","M",0.1,0.0385,0.0195
"516","M",0.2795,0.1115,0.0575
"517","M",0.0915,0.033,0.0215
"518","M",0.147,0.06,0.034
"519","F",0.203,0.078,0.059
"520","M",0.0385,0.0155,0.0085
"521","F",0.1885,0.0845,0.0385
"523","M",0.035,0.0145,0.008
"524","M",0.0545,0.0265,0.0095
"525","M",0.024,0.0095,0.006
"526","M",0.0155,0.0065,0.003
"527","F",0.733,0.282,0.159
"528","F",0.9715,0.3965,0.255
"529","M",0.24,0.0885,0.059
"531","F",0.458,0.192,0.1055
"533","F",0.38,0.1695,0.086
"537","M",0.1165,0.043,0.0255
"538","M",0.094,0.0335,0.02
"539","F",0.2705,0.093,0.066
"540","F",0.604,0.242,0.1415
"541","F",0.415,0.1585,0.0925
"542","M",0.2885,0.1,0.057
"543","M",0.3615,0.1565,0.0695
"544","F",0.257,0.099,0.051
"545","M",0.1555,0.0585,0.038
"546","M",0.08,0.0315,0.018
"547","M",0.0425,0.017,0.0055
"548","F",0.795,0.3605,0.1555
"557","F",1.1905,0.4585,0.298
"558","F",1.326,0.519,0.2625
"560","F",0.364,0.148,0.0805
"562","F",0.452,0.1715,0.092
"563","F",0.7335,0.2795,0.163
"564","F",0.5465,0.2005,0.126
"565","M",0.179,0.0705,0.0385
"568","M",0.1085,0.041,0.0265
"569","F",0.387,0.165,0.1005
"572","F",1.066,0.382,0.2275
"573","F",0.9535,0.3785,0.201
"575","F",1.133,0.5275,0.2355
"577","F",0.982,0.4055,0.2495
"579","F",1.3675,0.5015,0.3035
"580","F",1.233,0.5565,0.247
"582","F",1.4635,0.6615,0.3435
"584","F",0.363,0.1735,0.065
"587","F",0.8285,0.3095,0.1905
"588","M",0.4625,0.164,0.076
"589","F",0.3095,0.138,0.058
"591","F",0.25,0.111,0.057
"593","F",1.514,0.526,0.2975
"594","M",0.6995,0.2575,0.153
"596","F",0.7135,0.2565,0.186
"599","F",0.981,0.305,0.2245
"601","F",0.286,0.1225,0.0635
"602","F",0.265,0.1075,0.06
"606","M",0.195,0.078,0.0455
"608","M",0.228,0.0675,0.0675
"609","M",0.1775,0.0575,0.042
"610","F",0.4085,0.15,0.0825
"611","M",0.032,0.01,0.008
"612","M",0.155,0.0475,0.0355
"615","M",0.3865,0.128,0.07
"616","F",0.433,0.1525,0.095
"617","M",0.17,0.0655,0.047
"618","M",0.1295,0.0455,0.0335
"619","M",0.0515,0.018,0.0105
"620","M",0.169,0.06,0.0425
"622","F",0.6785,0.2945,0.138
"623","F",0.498,0.1795,0.1095
"625","F",0.658,0.2655,0.1125
"626","F",0.322,0.1205,0.061
"627","F",0.2815,0.1255,0.0525
"629","M",0.1835,0.077,0.046
"631","F",0.391,0.1555,0.095
"632","M",0.467,0.1895,0.0945
"634","M",0.2105,0.066,0.0525
"635","M",0.168,0.05,0.041
"636","M",0.258,0.1055,0.054
"637","M",0.1905,0.081,0.0485
"639","F",0.5735,0.219,0.1365
"640","M",0.173,0.0795,0.038
"642","F",0.9,0.358,0.156
"643","M",0.1875,0.0735,0.045
"644","M",0.3715,0.1605,0.0795
"646","M",0.1145,0.045,0.0265
"647","M",0.777,0.216,0.13
"649","F",0.447,0.1695,0.081
"650","M",0.079,0.034,0.014
"653","M",0.1345,0.054,0.024
"654","F",0.2305,0.0945,0.0465
"655","M",0.129,0.05,0.0295
"656","F",0.97,0.336,0.2315
"657","F",1.14,0.4305,0.2245
"659","F",0.9585,0.4145,0.1615
"662","F",0.3675,0.146,0.0885
"663","F",0.281,0.1045,0.0615
"665","F",0.2245,0.078,0.054
"666","M",0.4835,0.1815,0.144
"667","F",0.605,0.2155,0.14
"668","M",0.9175,0.2775,0.243
"669","F",0.5425,0.1765,0.123
"670","M",0.6175,0.235,0.108
"671","F",0.655,0.2405,0.143
"672","F",0.8115,0.24,0.169
"673","M",0.573,0.225,0.124
"674","F",0.7865,0.241,0.14
"675","F",0.64,0.158,0.11
"676","M",0.74,0.2635,0.168
"677","F",0.5945,0.185,0.148
"678","F",0.8165,0.25,0.1915
"679","F",0.2225,0.093,0.026
"681","M",0.5725,0.204,0.1415
"682","F",0.3915,0.154,0.094
"683","M",0.8345,0.3175,0.1725
"684","M",0.6515,0.2455,0.1665
"685","M",0.909,0.344,0.2325
"686","F",0.8045,0.3345,0.2125
"687","F",0.927,0.26,0.1425
"688","M",0.7305,0.279,0.2055
"689","M",0.9555,0.366,0.2425
"690","M",0.636,0.2535,0.145
"692","F",0.3865,0.1475,0.1065
"693","M",0.283,0.1175,0.0655
"697","M",0.1165,0.0545,0.0285
"698","F",0.444,0.155,0.1145
"699","F",0.3515,0.1185,0.091
"700","M",0.2905,0.1215,0.0685
"701","F",0.536,0.1895,0.142
"702","F",0.4525,0.18,0.103
"703","M",0.316,0.1205,0.0595
"704","M",0.417,0.191,0.09
"705","M",0.417,0.1535,0.1015
"706","M",0.203,0.0615,0.037
"707","F",0.207,0.0775,0.0435
"708","M",0.2765,0.0895,0.057
"711","M",0.2465,0.104,0.0475
"713","M",0.201,0.069,0.053
"714","M",0.1915,0.08,0.0385
"721","M",1.0575,0.3925,0.228
"722","M",1.092,0.416,0.212
"723","M",0.99,0.3865,0.243
"724","M",0.488,0.191,0.125
"725","F",0.5005,0.161,0.107
"726","M",0.297,0.108,0.0705
"727","F",0.525,0.2185,0.1195
"728","M",0.77,0.2735,0.159
"729","F",0.6515,0.261,0.2015
"730","M",0.8295,0.2405,0.1825
"731","M",0.879,0.374,0.1695
"732","M",0.823,0.298,0.1805
"733","M",0.656,0.227,0.1785
"734","M",0.8665,0.2825,0.176
"735","M",0.6565,0.262,0.1835
"736","M",0.669,0.2385,0.172
"737","F",0.6435,0.2415,0.1735
"738","M",0.862,0.2855,0.1525
"739","M",0.3795,0.143,0.074
"740","M",0.835,0.32,0.2175
"741","F",0.2065,0.078,0.057
"742","F",0.7365,0.2785,0.186
"743","F",0.8175,0.2795,0.183
"744","M",0.8425,0.275,0.1945
"745","F",1.001,0.34,0.226
"746","F",1.676,0.673,0.4805
