"","Sex","Whole.wt","Shucked.wt","Viscera.wt"
"747","M",0.6595,0.2485,0.2035
"748","M",0.8055,0.301,0.181
"749","M",1.5165,0.578,0.4105
"750","F",0.612,0.187,0.15
"751","M",0.547,0.215,0.1615
"752","F",1.122,0.347,0.3045
"753","F",1.1365,0.369,0.3005
"754","M",1.4805,0.5295,0.272
"755","M",1.5275,0.69,0.368
"756","M",1.1375,0.367,0.236
"757","F",1.437,0.469,0.2655
"758","M",1.116,0.4775,0.2315
"759","M",1.0615,0.348,0.167
"760","M",1.2565,0.435,0.202
"761","F",0.946,0.313,0.1825
"762","F",0.959,0.2385,0.221
"763","M",1.613,0.6215,0.361
"764","F",1.153,0.403,0.296
"765","M",0.978,0.3365,0.1905
"766","F",1.1325,0.3825,0.234
"767","M",0.197,0.0665,0.05
"768","F",0.785,0.289,0.227
"769","F",0.949,0.3485,0.2395
"770","F",0.9805,0.3155,0.2815
"772","M",0.2685,0.0975,0.0825
"773","M",0.462,0.1675,0.158
"774","M",0.7605,0.245,0.167
"775","M",0.732,0.189,0.17
"776","M",0.6775,0.236,0.179
"777","M",0.6385,0.2305,0.142
"778","M",0.5755,0.2015,0.1505
"779","F",0.537,0.1725,0.1375
"780","M",0.93,0.3505,0.237
"781","M",0.6415,0.246,0.152
"782","M",0.8815,0.292,0.206
"785","M",1.042,0.3295,0.2325
"786","F",0.5755,0.1975,0.13
"787","M",0.709,0.211,0.1375
"788","F",0.644,0.2475,0.2025
"789","F",0.8875,0.309,0.246
"790","F",0.8935,0.3145,0.2575
"791","F",0.556,0.1925,0.1315
"792","M",0.51,0.1915,0.1285
"793","M",0.9215,0.3275,0.225
"794","M",1.0345,0.315,0.26
"795","M",0.695,0.215,0.1635
"796","M",0.7155,0.2805,0.1685
"797","M",0.394,0.157,0.096
"798","M",0.745,0.255,0.157
"799","F",0.3665,0.125,0.081
"800","M",0.495,0.1655,0.117
"801","M",0.349,0.119,0.1055
"802","M",0.4405,0.152,0.0935
"804","M",0.6615,0.2875,0.2095
"805","M",0.3185,0.1235,0.0905
"807","F",0.759,0.2125,0.179
"808","F",0.4195,0.153,0.1155
"809","F",0.807,0.2855,0.179
"810","M",0.875,0.2665,0.174
"811","F",0.6835,0.165,0.1315
"830","M",0.325,0.156,0.0505
"836","M",0.5805,0.266,0.0935
"838","F",0.6395,0.2945,0.113
"840","M",0.609,0.3065,0.096
"841","F",0.7555,0.3355,0.129
"842","M",0.5975,0.27,0.1275
"843","M",0.8275,0.3415,0.1855
"844","M",0.7635,0.3375,0.1425
"845","M",0.891,0.4815,0.1915
"846","F",0.805,0.369,0.1725
"847","F",0.9185,0.429,0.2015
"848","F",0.923,0.4035,0.175
"849","M",1.0145,0.407,0.2015
"850","F",0.875,0.362,0.1755
"851","M",0.9685,0.4985,0.168
"852","M",1.0595,0.4735,0.24
"853","M",0.952,0.3895,0.2155
"854","M",0.7535,0.349,0.1755
"855","F",0.958,0.442,0.1815
"856","M",1.077,0.4545,0.244
"857","M",1.102,0.455,0.2055
"858","F",1.11,0.498,0.228
"859","F",1.2095,0.5225,0.296
"860","F",1.1405,0.547,0.231
"861","F",1.113,0.5175,0.244
"862","M",1.3445,0.549,0.2875
"863","F",1.21,0.653,0.1695
"864","M",1.29,0.606,0.276
"865","F",1.382,0.609,0.2325
"866","M",1.1035,0.421,0.3015
"867","F",1.377,0.5585,0.33
"868","F",1.3435,0.629,0.2605
"869","M",1.296,0.545,0.3315
"870","M",1.34,0.5315,0.2815
"871","F",1.3725,0.6285,0.275
"872","M",1.307,0.6355,0.2545
"873","F",1.2085,0.465,0.162
"874","F",1.3825,0.5895,0.285
"875","M",1.26,0.4525,0.2755
"876","M",1.3555,0.619,0.305
"877","F",1.376,0.6495,0.361
"878","F",1.2945,0.668,0.2605
"879","F",1.486,0.7595,0.332
"880","M",1.4715,0.675,0.315
"881","M",1.4095,0.586,0.291
"882","M",2.0805,0.959,0.3415
"883","M",1.3905,0.5905,0.212
"884","M",1.558,0.755,0.298
"885","F",1.309,0.5445,0.2945
"886","F",1.8095,0.784,0.391
"887","F",1.4785,0.628,0.3405
"888","F",1.7775,0.861,0.322
"889","F",1.6675,0.833,0.3775
"890","F",1.834,0.8455,0.422
"891","M",2.8255,1.1465,0.419
"931","F",0.4355,0.2025,0.1095
"944","F",0.482,0.23,0.106
"945","M",0.612,0.327,0.15
"946","F",0.582,0.29,0.092
"947","M",0.537,0.222,0.1215
"948","F",0.5915,0.3245,0.11
"949","M",0.6765,0.3205,0.1065
"950","M",0.64,0.2925,0.1405
"951","M",0.439,0.194,0.099
"952","M",0.6015,0.312,0.117
"953","F",0.4785,0.1995,0.0955
"954","M",0.649,0.32,0.124
"955","M",0.6335,0.3035,0.1295
"956","M",0.61,0.272,0.1435
"957","M",0.6595,0.3145,0.1535
"959","M",0.6425,0.3195,0.129
"960","M",0.6725,0.336,0.12
"961","F",0.674,0.3165,0.141
"963","M",0.642,0.289,0.133
"965","M",0.769,0.3935,0.1455
"968","M",0.7035,0.347,0.134
"969","M",0.796,0.3865,0.1815
"970","F",0.834,0.367,0.2
"971","M",0.7125,0.3695,0.137
"972","F",0.724,0.3475,0.173
"973","M",0.7325,0.334,0.1575
"974","F",0.7585,0.325,0.197
"975","F",0.8495,0.328,0.232
"976","M",0.6515,0.2715,0.1605
"977","F",0.8215,0.3935,0.196
"978","M",0.7165,0.2855,0.1595
"979","M",0.874,0.3735,0.229
"980","F",0.9905,0.544,0.178
"981","F",0.8105,0.368,0.161
"982","F",0.967,0.4525,0.207
"983","F",0.6975,0.3075,0.1665
"984","M",1.195,0.5625,0.2565
"985","M",1.1935,0.513,0.21
"986","F",1.107,0.54,0.255
"987","M",1.0635,0.5265,0.2195
"988","M",0.9035,0.4075,0.1935
"989","M",1.114,0.4955,0.2745
"990","F",1.103,0.538,0.221
"991","F",1.1155,0.5575,0.2255
"992","F",1.0515,0.4095,0.2595
"993","M",1.012,0.4985,0.2115
"994","F",1.137,0.5585,0.22
"995","M",1.1335,0.586,0.2565
"996","M",1.136,0.5245,0.2615
"997","M",1.206,0.479,0.2425
"998","F",1.063,0.5155,0.2445
"999","F",1.121,0.4515,0.178
"1000","F",1.114,0.5865,0.2205
"1001","M",1.213,0.621,0.2435
"1002","F",1.0045,0.4655,0.2095
"1003","M",1.044,0.518,0.2205
"1004","F",1.1345,0.5265,0.2645
"1005","M",1.161,0.572,0.2455
"1006","M",1.2315,0.6025,0.262
"1007","M",1.1625,0.565,0.258
"1008","M",1.168,0.554,0.239
"1009","F",1.2525,0.585,0.2595
"1010","F",1.3315,0.594,0.276
"1011","F",1.3525,0.6235,0.278
"1012","M",1.3325,0.5705,0.271
"1013","F",1.1435,0.4755,0.2475
"1014","F",1.288,0.573,0.3035
"1015","F",1.38,0.5845,0.302
"1016","M",1.278,0.637,0.275
"1017","F",1.3075,0.599,0.284
"1018","M",1.1785,0.5185,0.248
"1019","M",1.375,0.623,0.2705
"1020","M",1.4065,0.684,0.3
"1021","M",1.4025,0.705,0.2655
"1022","F",1.5175,0.693,0.326
"1023","F",1.394,0.4935,0.291
"1024","F",1.2205,0.6145,0.236
"1025","M",1.636,0.779,0.342
"1026","M",1.561,0.709,0.3555
"1027","F",1.4325,0.684,0.308
"1028","M",1.3385,0.633,0.299
"1029","F",1.2465,0.5475,0.327
"1030","F",1.212,0.515,0.2055
"1031","M",1.304,0.57,0.312
"1032","M",1.6785,0.6665,0.308
"1033","M",1.622,0.6645,0.3225
"1034","F",1.494,0.6895,0.331
"1035","F",1.6525,0.8515,0.3365
"1036","F",1.528,0.69,0.3025
"1037","M",1.5905,0.6425,0.297
"1038","M",1.6275,0.594,0.3595
"1039","F",1.3695,0.641,0.294
"1040","M",1.6085,0.682,0.3145
"1041","F",1.587,0.739,0.2995
"1042","F",1.8375,0.7645,0.3615
"1043","M",1.607,0.7245,0.3215
"1044","M",1.7005,0.8255,0.362
"1045","M",1.872,0.893,0.4015
"1046","F",1.8385,0.8035,0.396
"1047","F",1.685,0.693,0.42
"1048","M",2.198,1.012,0.5225
"1049","M",1.9525,0.7645,0.4185
"1050","F",1.56,0.6655,0.383
"1051","F",2.555,1.1335,0.44
"1052","M",2.302,1.007,0.509
"1080","M",0.397,0.1985,0.0865
"1093","M",0.544,0.27,0.1395
"1098","M",0.5225,0.235,0.13
"1102","M",0.5215,0.2485,0.117
"1103","F",0.5445,0.246,0.15
"1105","F",0.545,0.261,0.115
"1109","M",0.7765,0.3525,0.1845
"1112","F",1.019,0.523,0.1985
"1115","M",0.7555,0.3755,0.1555
"1120","M",0.7835,0.4225,0.1815
"1121","M",0.793,0.434,0.1405
"1122","M",0.82,0.4615,0.127
"1123","F",0.8145,0.427,0.1855
"1124","F",0.84,0.395,0.195
"1125","M",0.8315,0.411,0.1765
"1126","M",0.8995,0.464,0.1775
"1127","M",0.8965,0.42,0.2175
"1128","F",0.6405,0.336,0.1765
"1129","M",0.852,0.43,0.1885
"1130","M",0.9595,0.4565,0.2395
"1131","M",0.99,0.5795,0.1825
"1132","F",1.0095,0.447,0.2375
"1133","M",1.0375,0.5415,0.2035
"1134","F",0.8775,0.412,0.217
"1136","F",0.9945,0.466,0.229
"1137","F",1.068,0.556,0.214
"1138","M",0.8455,0.401,0.191
"1139","F",0.869,0.435,0.197
"1140","M",0.907,0.4245,0.197
"1142","M",1.0225,0.549,0.2175
"1143","M",0.847,0.415,0.1945
"1144","M",1.114,0.4765,0.2155
"1145","M",1.859,0.945,0.426
"1146","M",0.814,0.3775,0.1915
"1147","M",0.9615,0.486,0.1815
"1148","M",1.0025,0.547,0.1975
"1149","F",0.93,0.385,0.246
"1150","M",0.9335,0.478,0.1825
"1151","M",0.9555,0.4595,0.236
"1152","M",0.9955,0.481,0.232
"1153","F",1.0265,0.485,0.2495
"1154","M",1.1915,0.696,0.2395
"1155","F",1.1025,0.5455,0.262
"1156","M",1.0165,0.512,0.2465
"1157","F",1.1775,0.611,0.2275
"1158","M",1.1175,0.555,0.257
"1159","M",1.1835,0.582,0.2365
"1160","F",1.056,0.433,0.2195
"1161","M",1.0145,0.5315,0.212
"1162","M",1.3305,0.783,0.2255
"1163","M",1.052,0.498,0.242
"1164","M",1.0565,0.4815,0.272
"1165","F",0.923,0.4615,0.1825
"1166","F",1.027,0.447,0.25
"1167","M",1.0195,0.5315,0.2005
"1168","M",0.858,0.4285,0.1525
"1169","F",1.1125,0.5635,0.2445
"1170","F",1.3745,0.7335,0.2715
"1171","M",1.2065,0.587,0.29
"1172","M",1.1325,0.589,0.211
"1173","M",1.2645,0.5635,0.3065
"1174","F",1.1565,0.5115,0.308
"1175","M",1.369,0.632,0.3415
"1176","M",1.39,0.6465,0.2945
"1177","F",1.1345,0.528,0.254
"1178","F",1.464,0.6415,0.339
"1179","M",1.202,0.565,0.3135
"1180","M",1.31,0.553,0.369
"1181","F",1.415,0.5885,0.3725
"1182","F",1.346,0.546,0.2705
"1183","M",1.363,0.629,0.279
"1185","F",1.3645,0.6075,0.3025
"1186","F",1.7025,0.664,0.3655
"1187","M",1.519,0.699,0.3685
"1188","F",1.454,0.624,0.3105
"1189","M",1.583,0.7355,0.405
"1190","F",1.5535,0.7945,0.3485
"1191","M",1.74,0.885,0.3715
"1192","M",1.751,0.895,0.3355
"1193","M",2.273,1.095,0.418
"1194","F",1.6465,0.8545,0.307
"1195","F",1.219,0.6395,0.236
"1196","F",1.652,0.735,0.381
"1197","M",2.0045,1.0465,0.407
"1198","M",1.6755,0.889,0.313
"1199","F",2.103,1.0265,0.48
"1200","F",1.9965,0.9035,0.469
"1201","M",1.187,0.691,0.1945
"1202","M",1.978,1.026,0.4255
"1203","F",1.8795,0.931,0.38
"1204","M",2.124,0.952,0.55
"1205","M",1.931,0.896,0.4585
"1206","F",2.236,1.109,0.5195
"1207","F",2.505,1.1965,0.513
"1208","M",2.0065,0.8295,0.4015
"1209","F",2.657,1.488,0.4985
"1263","F",0.4305,0.184,0.108
"1267","F",0.4785,0.206,0.1045
"1280","M",0.553,0.224,0.1375
"1282","M",0.6765,0.302,0.1415
"1296","M",0.842,0.428,0.1415
"1303","F",0.7145,0.335,0.144
"1304","M",0.717,0.3475,0.1445
"1305","F",0.8655,0.4315,0.163
"1308","F",0.8,0.3535,0.163
"1312","F",0.651,0.2965,0.137
"1313","M",0.8745,0.413,0.1905
"1316","M",0.8705,0.407,0.156
"1322","F",1.224,0.5565,0.3225
"1325","F",0.8495,0.4215,0.1685
"1326","M",0.796,0.3635,0.184
"1327","M",0.744,0.352,0.13
"1330","F",0.9795,0.397,0.2525
"1331","M",0.873,0.382,0.183
"1333","M",0.8965,0.383,0.1835
"1334","F",0.857,0.461,0.147
"1335","F",1.078,0.511,0.2095
"1336","M",0.892,0.4415,0.176
"1337","M",1.4395,0.6715,0.273
"1338","M",0.7955,0.405,0.167
"1339","F",0.858,0.4,0.156
"1340","M",0.9145,0.4555,0.1965
"1341","M",1.171,0.522,0.2535
"1343","M",1.1135,0.5825,0.2345
"1344","M",1.409,0.8,0.229
"1345","M",1.065,0.5315,0.199
"1346","M",0.7995,0.336,0.1855
"1348","M",1.187,0.5985,0.227
"1349","M",0.8855,0.388,0.188
"1350","F",0.98,0.4115,0.196
"1351","F",1.026,0.4645,0.112
"1352","M",1.1315,0.508,0.272
"1353","M",1.014,0.451,0.1885
"1355","F",1.04,0.4755,0.25
"1356","F",0.8895,0.419,0.1715
"1357","M",0.9595,0.4455,0.189
"1359","M",0.9755,0.419,0.206
"1361","F",1.076,0.463,0.2195
"1362","F",1.0835,0.5405,0.2215
"1363","M",0.871,0.407,0.1835
"1364","M",1.244,0.6345,0.257
"1365","M",1.0265,0.435,0.2335
"1367","M",1.137,0.4565,0.29
"1368","M",1,0.494,0.197
"1369","F",1.004,0.4475,0.193
"1370","M",1.128,0.4465,0.2195
"1371","M",1.054,0.4845,0.228
"1372","F",1.023,0.4905,0.1955
"1373","M",1.129,0.4795,0.302
"1374","M",1.118,0.446,0.3195
"1375","F",1.115,0.484,0.2115
"1376","M",1.2815,0.5715,0.2385
"1377","M",1.2555,0.5765,0.254
"1378","F",1.293,0.596,0.3135
"1379","F",1.1295,0.463,0.2685
"1380","M",1.082,0.4955,0.2345
"1381","F",1.15,0.5475,0.256
"1382","F",1.264,0.5715,0.326
"1383","F",1.2035,0.5865,0.239
"1384","F",1.3205,0.5945,0.345
"1386","M",1.062,0.5065,0.1785
"1388","M",1.093,0.497,0.221
"1389","M",1.101,0.534,0.1865
"1390","F",1.4595,0.705,0.2645
"1391","F",1.211,0.707,0.2725
"1392","M",1.1935,0.5205,0.2695
"1393","M",0.986,0.405,0.2255
"1394","M",1.521,0.644,0.372
"1395","M",1.3135,0.4865,0.2995
"1396","M",1.1835,0.556,0.2385
"1397","M",1.401,0.6165,0.3515
"1398","M",1.5075,0.7455,0.245
"1399","F",1.16,0.4785,0.274
"1400","F",1.662,0.77,0.378
"1401","M",1.5365,0.6865,0.3585
"1402","M",1.542,0.7155,0.3735
"1403","F",1.567,0.7245,0.349
"1404","F",1.3595,0.564,0.3215
"1405","M",1.6445,0.7305,0.3595
"1406","F",1.4545,0.6,0.3865
"1407","M",1.3585,0.6395,0.294
"1408","F",1.548,0.724,0.3525
"1409","F",1.337,0.615,0.3125
"1410","F",1.491,0.6345,0.342
"1411","F",1.5615,0.63,0.487
"1412","F",1.0145,0.4375,0.271
"1413","M",1.7375,0.876,0.3135
"1414","M",1.7925,0.8145,0.416
"1415","F",1.7635,0.7465,0.399
"1416","F",1.556,0.6725,0.374
"1417","M",2.21,1.1075,0.4865
"1418","M",2.141,1.0465,0.383
"1419","F",1.5345,0.96,0.4195
"1420","F",1.614,0.743,0.345
"1421","F",1.9335,0.913,0.389
"1422","M",2.173,0.9515,0.564
"1423","F",1.737,0.697,0.3585
"1424","F",1.7375,0.6785,0.4345
"1425","F",2.1275,0.949,0.46
"1426","F",2.25,1.1565,0.446
"1427","F",2.5085,1.232,0.519
"1428","F",2.255,0.8905,0.42
"1443","M",0.3895,0.2015,0.065
"1447","M",0.4565,0.2435,0.092
"1449","M",0.4475,0.2165,0.126
"1455","M",0.649,0.347,0.136
"1457","F",0.566,0.281,0.117
"1460","M",0.6435,0.2945,0.103
"1461","M",0.526,0.2485,0.105
"1462","F",0.573,0.2655,0.1285
"1463","M",0.5525,0.239,0.1245
"1464","F",0.6855,0.361,0.1565
"1466","M",0.9365,0.497,0.181
"1468","M",0.559,0.254,0.139
"1469","M",0.7205,0.3685,0.145
"1471","M",0.7575,0.398,0.151
"1472","F",0.7405,0.3565,0.1775
"1473","F",0.84,0.375,0.218
"1474","M",0.793,0.343,0.2035
"1475","F",0.8745,0.453,0.161
"1476","F",0.8715,0.4755,0.1835
"1477","M",0.9875,0.504,0.207
"1478","M",1.08,0.595,0.2065
"1479","M",0.9155,0.4005,0.2465
"1480","F",1.165,0.65,0.2205
"1481","F",0.953,0.475,0.2165
"1482","M",0.906,0.4095,0.23
"1483","M",0.8725,0.387,0.215
"1484","F",1.151,0.613,0.239
"1485","F",0.9905,0.453,0.2205
"1486","F",1.04,0.452,0.2655
"1487","M",0.945,0.4365,0.2085
"1488","M",1.259,0.6405,0.1985
"1489","F",0.9515,0.4535,0.193
"1490","F",1.201,0.417,0.2875
"1491","F",1.289,0.6,0.2945
"1492","F",1.1005,0.5125,0.229
"1494","M",1.049,0.462,0.231
"1495","F",1.012,0.477,0.236
"1496","M",1.0725,0.4815,0.235
"1497","M",1.4105,0.691,0.322
"1498","M",1.136,0.451,0.3245
"1499","M",1.1005,0.52,0.26
"1500","F",1.1105,0.467,0.268
"1501","M",1.1315,0.481,0.2745
"1502","M",1.271,0.6605,0.2425
"1503","F",1.336,0.6805,0.259
"1504","F",1.1345,0.505,0.2655
"1505","M",1.308,0.544,0.318
"1506","F",1.5335,0.6635,0.3345
"1507","F",1.546,0.7035,0.365
"1508","M",1.539,0.6405,0.3585
"1509","F",1.318,0.55,0.3015
"1510","F",1.5245,0.59,0.326
"1511","M",1.466,0.677,0.3045
"1512","F",1.3825,0.702,0.304
"1513","M",1.175,0.475,0.2435
"1514","F",1.5555,0.695,0.296
"1515","M",1.7835,0.8885,0.4095
"1516","M",1.374,0.589,0.351
"1517","F",1.389,0.5945,0.324
"1518","M",1.7025,0.833,0.374
"1519","M",1.5265,0.651,0.4475
"1520","M",1.519,0.616,0.388
"1521","F",1.741,0.7665,0.3255
"1522","M",1.6115,0.8415,0.306
"1523","M",1.7825,0.9165,0.3325
"1524","F",1.684,0.7535,0.3265
"1525","M",1.858,0.73,0.3665
"1526","M",1.675,0.797,0.4095
"1527","M",2.1055,1.017,0.363
"1528","M",2.21,1.351,0.413
"1529","M",1.8725,0.9115,0.427
"1530","M",1.893,0.942,0.397
"1570","M",0.4285,0.1965,0.099
"1574","M",0.464,0.221,0.106
"1584","F",0.6065,0.3005,0.131
"1591","M",0.845,0.3525,0.1635
"1595","M",0.707,0.282,0.1605
"1604","M",0.972,0.419,0.255
"1611","M",0.7625,0.327,0.1685
"1621","M",0.849,0.3265,0.221
"1623","F",0.863,0.435,0.149
"1624","M",0.802,0.3595,0.1825
"1625","M",0.831,0.4245,0.1735
"1626","F",0.7805,0.3345,0.185
"1627","M",0.795,0.3385,0.148
"1632","M",0.867,0.3765,0.1805
"1634","F",1.116,0.509,0.238
"1636","M",0.985,0.3745,0.2175
"1637","F",0.9965,0.417,0.247
"1640","F",1.0305,0.4605,0.218
"1641","M",0.839,0.4005,0.198
"1642","M",0.9615,0.483,0.166
"1643","F",0.834,0.428,0.1515
"1644","M",1.0335,0.469,0.2225
"1645","M",0.798,0.365,0.173
"1647","F",0.913,0.4305,0.2205
"1648","M",1.207,0.559,0.235
"1651","F",0.9,0.4175,0.17
"1652","M",0.838,0.3965,0.194
"1653","M",0.959,0.463,0.2065
"1655","F",0.9735,0.427,0.2045
"1656","F",1.13,0.575,0.196
"1657","M",0.9165,0.4135,0.1965
"1659","F",1.0645,0.4495,0.2455
"1660","M",1.059,0.504,0.241
"1661","M",1.194,0.5625,0.3045
"1662","F",0.9775,0.468,0.1775
"1663","M",0.884,0.3835,0.1905
"1665","F",0.991,0.4735,0.2345
"1666","F",0.974,0.393,0.224
"1667","F",1.434,0.7285,0.264
"1668","M",0.983,0.4565,0.228
"1669","F",1.0725,0.4835,0.2515
"1670","F",1.2405,0.6025,0.2915
"1671","M",1.022,0.449,0.2345
"1672","F",1.1155,0.3835,0.223
"1674","M",1.1185,0.5225,0.2405
"1675","F",1.2795,0.5735,0.2855
"1676","M",1.0175,0.473,0.2395
"1677","M",1.224,0.6035,0.261
"1679","F",1.3255,0.6685,0.2605
"1680","M",1.221,0.535,0.241
"1681","F",1.139,0.4995,0.2435
"1683","F",1.2215,0.582,0.2695
"1686","M",1.266,0.6285,0.2575
"1687","F",1.0405,0.464,0.2225
"1688","M",1.1165,0.4895,0.2615
"1689","M",1.0845,0.5005,0.2355
"1690","M",1.0985,0.4645,0.22
"1692","F",1.362,0.6765,0.2615
"1694","M",1.0915,0.4615,0.266
"1695","F",1.1965,0.514,0.2325
"1696","M",1.1745,0.5255,0.273
"1697","M",1.233,0.6565,0.2315
"1698","M",1.2695,0.605,0.271
"1700","M",1.4345,0.611,0.309
"1701","F",1.2435,0.5805,0.313
"1702","F",1.2615,0.5385,0.2665
"1703","F",1.2235,0.5215,0.2695
"1704","M",1.247,0.5475,0.2925
"1705","M",1.707,0.763,0.4205
"1706","M",1.1605,0.519,0.2615
"1707","M",1.286,0.5645,0.288
"1708","M",1.5595,0.741,0.3715
"1709","M",1.4745,0.605,0.345
