"","Sex","Whole.wt","Shucked.wt","Viscera.wt"
"2479","F",0.742,0.2025,0.2005
"2480","F",0.7,0.207,0.1905
"2481","M",0.271,0.11,0.06
"2482","M",0.8565,0.2745,0.201
"2483","F",0.8975,0.275,0.241
"2484","M",0.6105,0.1955,0.107
"2486","F",0.6635,0.21,0.1295
"2487","F",1.235,0.5115,0.349
"2488","M",0.7615,0.246,0.195
"2489","M",0.592,0.242,0.096
"2490","M",0.39,0.163,0.087
"2491","F",0.7565,0.1905,0.17
"2492","F",0.57,0.167,0.118
"2494","M",0.2935,0.096,0.0675
"2495","M",0.567,0.174,0.1245
"2496","F",0.6245,0.215,0.2065
"2497","M",0.8415,0.2715,0.1775
"2498","M",0.7775,0.2015,0.18
"2499","M",0.989,0.2815,0.213
"2500","F",0.6905,0.219,0.155
"2501","F",0.2,0.0625,0.05
"2512","M",0.5,0.21,0.113
"2513","F",0.6265,0.259,0.1445
"2515","F",0.6015,0.2765,0.1455
"2517","M",0.6315,0.3445,0.1015
"2518","M",0.7715,0.37,0.16
"2520","M",0.872,0.4625,0.1725
"2521","M",0.8115,0.392,0.1455
"2522","M",0.8795,0.387,0.15
"2523","F",0.983,0.4475,0.2355
"2524","M",1.145,0.48,0.277
"2525","M",1.09,0.5,0.2215
"2526","M",1.262,0.5685,0.2725
"2527","M",1.185,0.482,0.2015
"2528","F",1.4405,0.5885,0.191
"2529","F",1.332,0.6235,0.2835
"2530","F",1.1405,0.587,0.2175
"2531","M",1.201,0.5395,0.275
"2532","F",1.33,0.6675,0.259
"2533","M",1.362,0.5785,0.3125
"2534","M",1.647,0.7225,0.331
"2535","F",1.4995,0.593,0.314
"2536","F",1.6225,0.6555,0.299
"2538","M",1.791,0.733,0.318
"2539","F",1.925,0.713,0.358
"2540","F",1.689,0.694,0.371
"2541","F",1.659,0.8715,0.2655
"2542","F",2.0475,0.75,0.4195
"2543","F",1.6015,0.707,0.365
"2544","F",2.0165,1.0685,0.418
"2566","F",0.4555,0.1945,0.1045
"2567","F",0.46,0.2025,0.1115
"2571","M",0.486,0.231,0.1035
"2574","M",0.5135,0.243,0.1015
"2575","M",0.6215,0.274,0.166
"2578","M",0.646,0.285,0.1365
"2579","M",0.7945,0.394,0.189
"2580","M",0.812,0.4035,0.1705
"2581","F",0.828,0.41,0.208
"2582","M",0.681,0.3095,0.1415
"2583","F",0.889,0.4055,0.2275
"2584","M",0.7345,0.33,0.1595
"2585","F",0.964,0.5475,0.159
"2586","F",0.963,0.44,0.224
"2587","F",0.995,0.504,0.185
"2588","F",0.8585,0.3905,0.196
"2589","M",0.948,0.429,0.206
"2590","F",0.888,0.41,0.1815
"2591","F",0.9045,0.405,0.2215
"2592","M",1.046,0.4695,0.263
"2593","F",1.1775,0.542,0.269
"2594","F",1.0765,0.491,0.22
"2595","F",1.0255,0.412,0.2745
"2596","F",0.9325,0.3985,0.2245
"2597","F",1.235,0.6025,0.274
"2598","M",1.247,0.5335,0.2735
"2599","M",1.1495,0.564,0.274
"2600","F",1.1575,0.5005,0.2495
"2601","F",1.327,0.6,0.3015
"2602","M",1.2,0.5085,0.32
"2603","F",1.2705,0.5415,0.323
"2604","F",1.2155,0.545,0.253
"2605","F",1.3245,0.6865,0.233
"2606","M",1.3555,0.671,0.268
"2607","F",1.127,0.477,0.2365
"2608","F",1.1075,0.4485,0.2165
"2609","F",1.4255,0.659,0.336
"2610","F",1.147,0.5455,0.266
"2611","M",1.286,0.604,0.271
"2612","F",1.596,0.617,0.317
"2613","F",1.297,0.556,0.2985
"2614","M",1.251,0.5355,0.3345
"2615","M",1.5105,0.6735,0.3755
"2616","F",1.4415,0.741,0.2955
"2617","M",1.6385,0.8115,0.369
"2618","F",1.933,0.7855,0.429
"2619","M",1.71,0.7725,0.3855
"2620","F",1.8495,0.767,0.442
"2621","M",1.742,0.696,0.389
"2622","F",1.7975,0.7295,0.3935
"2623","F",2.381,0.9915,0.5005
"2624","M",2.398,1.128,0.512
"2625","M",2.1945,1.0515,0.482
"2645","M",0.554,0.2935,0.1005
"2648","M",0.5765,0.273,0.135
"2649","M",0.723,0.377,0.149
"2654","F",0.832,0.4355,0.17
"2655","M",0.778,0.3745,0.1545
"2656","M",0.7865,0.403,0.185
"2657","F",0.778,0.368,0.215
"2659","F",0.8435,0.434,0.1995
"2661","M",0.784,0.3495,0.1885
"2662","F",0.908,0.4015,0.217
"2663","M",1.02,0.546,0.204
"2664","F",0.811,0.3875,0.159
"2665","F",0.897,0.4235,0.1905
"2666","M",0.852,0.41,0.1725
"2667","F",0.938,0.467,0.203
"2668","F",0.6955,0.3085,0.129
"2669","M",0.861,0.413,0.164
"2670","M",1.004,0.496,0.2165
"2671","F",1.0115,0.445,0.2615
"2672","F",1.1005,0.5415,0.166
"2673","M",1.108,0.4915,0.2325
"2674","M",0.852,0.4215,0.2255
"2675","M",1.9875,1.005,0.419
"2676","F",1.079,0.4505,0.2835
"2677","F",1.055,0.543,0.246
"2678","M",1.198,0.707,0.2095
"2679","F",1.084,0.5885,0.209
"2680","M",1.103,0.4635,0.3095
"2681","M",1.1,0.505,0.2475
"2682","M",1.1015,0.4965,0.243
"2683","M",1.3835,0.7105,0.3005
"2684","F",1.115,0.484,0.277
"2685","M",1.085,0.4645,0.2445
"2686","M",1.3165,0.6325,0.2465
"2687","M",1.3415,0.6575,0.262
"2688","M",1.027,0.537,0.188
"2689","M",1.1845,0.506,0.311
"2690","M",1.192,0.6055,0.2595
"2691","F",1.285,0.5775,0.352
"2692","M",1.1805,0.5235,0.283
"2693","M",1.2655,0.615,0.2775
"2694","F",1.2895,0.6095,0.2765
"2695","M",1.407,0.7215,0.298
"2696","F",1.122,0.545,0.228
"2697","M",1.4465,0.694,0.298
"2698","F",1.349,0.5985,0.3175
"2699","M",1.269,0.576,0.2985
"2700","M",1.68,0.926,0.2975
"2701","F",1.551,0.7105,0.3685
"2702","M",1.4775,0.724,0.279
"2703","M",1.529,0.7635,0.3115
"2704","M",1.7585,0.8745,0.3615
"2705","M",1.523,0.693,0.306
"2706","F",1.7315,0.83,0.398
"2707","M",1.51,0.8735,0.4265
"2708","M",1.88,0.9095,0.387
"2709","F",2.012,0.8915,0.5265
"2710","M",2.201,1.0615,0.5235
"2738","M",0.4305,0.2235,0.0785
"2744","M",0.5895,0.2535,0.128
"2751","F",0.516,0.2015,0.132
"2752","M",0.7355,0.3065,0.137
"2755","F",0.7055,0.329,0.147
"2758","M",0.7845,0.3285,0.169
"2759","F",0.9475,0.366,0.239
"2766","F",1.1465,0.551,0.244
"2770","F",1.017,0.5265,0.2025
"2771","F",0.8975,0.4115,0.2325
"2772","M",1.2255,0.5405,0.2705
"2773","F",0.9865,0.47,0.2155
"2774","F",0.844,0.3645,0.185
"2776","M",0.885,0.4025,0.1625
"2778","F",0.8755,0.411,0.2065
"2779","M",0.9235,0.4545,0.173
"2780","M",0.977,0.4625,0.2025
"2781","M",1.0305,0.4925,0.217
"2782","M",1.05,0.457,0.2685
"2783","M",1.1145,0.5055,0.2635
"2784","M",0.877,0.4325,0.155
"2785","M",1.285,0.6095,0.2745
"2786","M",1.3065,0.6895,0.2915
"2787","F",0.8725,0.389,0.1715
"2788","F",1.0265,0.4935,0.201
"2789","F",1.1605,0.6005,0.2195
"2790","F",1.0125,0.5325,0.4365
"2791","M",1.096,0.5445,0.2165
"2792","M",1.205,0.5175,0.3105
"2793","M",1.221,0.555,0.252
"2794","F",1.0005,0.452,0.252
"2795","M",1.1355,0.539,0.2325
"2796","M",1.3135,0.4935,0.2565
"2797","M",1.1955,0.5565,0.211
"2798","M",1.098,0.5195,0.222
"2799","M",1.139,0.5395,0.282
"2800","F",1.2265,0.49,0.377
"2801","M",1.042,0.515,0.1755
"2802","M",1.368,0.6185,0.288
"2803","M",1.446,0.6485,0.2705
"2804","F",1.4045,0.6255,0.3375
"2805","F",1.463,0.6525,0.2995
"2806","F",1.711,0.8365,0.352
"2807","M",1.74,0.7885,0.373
"2808","F",1.757,0.8265,0.417
"2809","M",1.601,0.706,0.321
"2810","M",2.165,1.1055,0.525
"2811","M",2.3305,1.253,0.541
"2826","M",0.5945,0.309,0.1085
"2828","M",0.872,0.4515,0.1615
"2830","F",0.8435,0.4325,0.18
"2831","M",0.818,0.402,0.1715
"2832","F",0.8035,0.38,0.1805
"2833","F",0.8115,0.3875,0.1875
"2834","F",0.782,0.3695,0.1745
"2835","M",0.8745,0.416,0.165
"2836","M",0.984,0.49,0.201
"2837","F",0.95,0.484,0.182
"2838","M",1.1735,0.6245,0.233
"2839","F",0.976,0.465,0.2055
"2840","M",1.0785,0.4535,0.2435
"2841","M",1.057,0.4255,0.224
"2842","M",1.11,0.5105,0.256
"2843","M",1.142,0.539,0.225
"2844","M",1.1255,0.59,0.247
"2845","F",1.1045,0.535,0.25
"2846","M",1.3405,0.656,0.283
"2847","M",1.082,0.5785,0.2045
"2848","F",1.254,0.591,0.259
"2849","M",1.2005,0.575,0.273
"2850","M",1.243,0.623,0.275
"2851","F",1.286,0.526,0.295
"2852","F",1.1665,0.4935,0.3155
"2853","F",1.144,0.5015,0.289
"2854","F",1.385,0.8875,0.3095
"2855","F",1.309,0.524,0.346
"2856","F",1.527,0.8485,0.2635
"2857","M",1.6385,0.831,0.3575
"2858","M",1.691,0.768,0.363
"2859","F",1.719,0.8465,0.407
"2860","F",1.52,0.637,0.325
"2861","F",1.613,0.723,0.3255
"2862","M",2.2355,1.1705,0.463
"2863","M",2.3235,1.1495,0.5115
"2878","F",0.4085,0.165,0.102
"2886","M",0.521,0.25,0.096
"2890","M",0.9505,0.456,0.199
"2892","M",0.8315,0.352,0.187
"2893","F",0.8725,0.417,0.199
"2900","F",0.745,0.347,0.174
"2903","F",0.8765,0.455,0.18
"2905","M",0.9655,0.498,0.19
"2906","M",0.9065,0.371,0.1965
"2907","M",1.049,0.5205,0.1935
"2908","F",0.9705,0.4615,0.232
"2909","F",0.92,0.393,0.212
"2910","M",0.9525,0.4315,0.1945
"2911","F",0.7855,0.363,0.1955
"2913","M",1.142,0.485,0.265
"2916","M",1.2015,0.492,0.3865
"2917","M",1.1295,0.57,0.2555
"2919","F",1.056,0.4575,0.2435
"2920","M",1.34,0.617,0.3255
"2921","F",0.9625,0.4375,0.2225
"2922","M",1.0475,0.465,0.2345
"2923","F",1.0915,0.4365,0.2715
"2924","M",1.167,0.457,0.29
"2927","F",1.2735,0.469,0.3315
"2928","M",1.0625,0.516,0.225
"2930","F",1.194,0.559,0.259
"2931","F",1.1215,0.545,0.2305
"2932","M",0.9335,0.382,0.247
"2933","F",1.198,0.5415,0.2865
"2934","F",0.9545,0.455,0.1865
"2935","M",1.3585,0.5935,0.3365
"2936","M",1.2075,0.531,0.281
"2937","M",1.217,0.667,0.2065
"2938","F",1.217,0.5725,0.207
"2939","F",0.92,0.437,0.1735
"2940","M",0.8765,0.456,0.18
"2941","F",1.2615,0.5505,0.277
"2942","M",1.2795,0.618,0.256
"2943","F",1.167,0.548,0.2485
"2944","M",1.1885,0.4915,0.3065
"2945","F",1.3765,0.634,0.2885
"2946","M",1.292,0.6,0.269
"2947","M",1.1795,0.4785,0.2775
"2948","F",1.29,0.593,0.3045
"2949","M",1.2075,0.5385,0.282
"2950","M",1.297,0.59,0.3125
"2951","M",1.4585,0.625,0.266
"2952","F",1.151,0.5935,0.2315
"2953","F",1.197,0.526,0.2925
"2954","M",1.539,0.6115,0.408
"2955","M",1.676,0.693,0.44
"2956","F",1.6645,0.753,0.367
"2957","F",1.528,0.6215,0.3725
"2958","F",1.494,0.7255,0.309
"2959","F",1.277,0.4975,0.319
"2960","F",1.5965,0.7765,0.397
"2961","F",1.3805,0.675,0.2985
"2963","F",1.527,0.5755,0.353
"2964","M",1.4005,0.715,0.3025
"2965","M",1.4405,0.6595,0.2675
"2966","M",1.482,0.739,0.2925
"2967","M",1.2345,0.618,0.2625
"2968","F",1.3435,0.657,0.297
"2969","M",1.533,0.667,0.4055
"2970","M",1.8445,0.9815,0.4655
"2971","M",1.825,0.938,0.3805
"2972","M",2.0885,0.9955,0.478
"2973","M",2.087,0.909,0.474
"2974","M",1.884,0.954,0.336
"2978","M",1.029,0.4235,0.2285
"2979","M",0.981,0.465,0.2015
"2981","F",0.693,0.391,0.1195
"2982","F",1.183,0.508,0.292
"2983","F",0.7905,0.4065,0.198
"2984","F",1.224,0.618,0.275
"2986","M",1.2705,0.548,0.3265
"2987","M",1.406,0.6115,0.342
"2988","M",0.873,0.4625,0.1845
"2989","M",0.9415,0.509,0.2015
"2990","F",1.007,0.4775,0.2105
"2991","M",1.0835,0.5305,0.231
"2993","F",1.5245,0.653,0.396
"2994","M",1.024,0.409,0.261
"2995","M",1.281,0.597,0.3035
"2996","F",1.148,0.5475,0.22
"2997","F",1.136,0.5265,0.1915
"2998","F",1.2235,0.532,0.271
"2999","F",1.3695,0.634,0.318
"3000","M",1.006,0.456,0.2245
"3001","M",1.307,0.678,0.292
"3002","M",1.463,0.592,0.3905
"3003","F",1.2905,0.6205,0.2965
"3004","F",1.4265,0.6605,0.3395
"3005","M",1.7885,0.8345,0.408
"3006","M",1.6135,0.75,0.4035
"3007","M",2.2305,1.2395,0.422
"3008","F",2.2635,0.821,0.423
"3033","M",0.6835,0.3125,0.1655
"3034","M",0.6855,0.293,0.163
"3037","M",0.894,0.3885,0.2095
"3039","M",0.95,0.4005,0.2235
"3040","F",0.871,0.385,0.211
"3041","M",0.9785,0.4505,0.196
"3043","M",0.737,0.325,0.1405
"3045","F",0.8785,0.425,0.1685
"3046","M",1.1275,0.4925,0.262
"3047","M",0.9765,0.4525,0.2395
"3049","M",0.853,0.326,0.2615
"3050","M",0.991,0.382,0.2395
"3051","M",0.9125,0.4095,0.1825
"3052","F",0.921,0.4005,0.2025
"3053","F",0.869,0.3425,0.195
"3054","M",0.8665,0.3695,0.1955
"3055","F",1.089,0.469,0.198
"3056","M",0.9615,0.422,0.176
"3057","M",1.145,0.4915,0.208
"3059","F",1.1635,0.4875,0.259
"3060","M",1.1955,0.492,0.247
"3061","M",1.31,0.495,0.295
"3062","F",1.251,0.577,0.227
"3063","F",1.145,0.4775,0.3035
"3064","M",1.154,0.4405,0.2315
"3065","F",1.1335,0.5525,0.2505
"3066","F",1.2015,0.559,0.231
"3067","M",1.5595,0.695,0.3515
"3068","M",1.3165,0.6345,0.2605
"3069","M",1.403,0.6955,0.2385
"3070","F",1.204,0.5455,0.2615
"3071","F",1.2895,0.587,0.3165
"3072","F",1.5175,0.7765,0.302
"3073","M",1.3575,0.5325,0.3045
"3074","M",1.3645,0.557,0.3405
"3075","F",1.494,0.615,0.3935
"3076","F",1.664,0.58,0.3855
"3077","M",1.545,0.686,0.3775
"3078","F",1.5855,0.667,0.334
"3079","F",1.666,0.647,0.4285
"3080","M",1.724,0.566,0.4575
"3081","F",1.908,0.5415,0.3565
"3082","F",2.073,1.0135,0.4655
"3089","M",0.458,0.2,0.111
"3090","M",0.491,0.207,0.115
"3091","M",0.474,0.197,0.1065
"3092","M",0.5805,0.244,0.1335
"3093","F",0.728,0.302,0.1575
"3094","M",0.622,0.2655,0.147
"3095","M",0.706,0.3355,0.1635
"3096","F",0.5685,0.249,0.1375
"3097","M",0.9385,0.3685,0.1245
"3098","F",0.655,0.2635,0.122
"3099","M",0.9465,0.4355,0.2605
"3100","M",0.9115,0.446,0.2075
"3101","M",0.942,0.43,0.182
"3102","M",1.193,0.5145,0.315
"3103","M",1.461,0.5985,0.2425
"3104","M",1.489,0.6065,0.3795
"3116","M",0.7775,0.436,0.1715
"3117","F",0.4705,0.1635,0.089
"3118","M",0.751,0.3295,0.1835
"3119","F",0.714,0.318,0.138
"3120","F",0.6995,0.3115,0.131
"3121","F",0.952,0.4895,0.1945
"3122","M",0.8755,0.44,0.1965
"3123","M",0.9215,0.354,0.209
"3124","F",0.8285,0.362,0.1655
"3125","M",1.206,0.581,0.216
"3126","M",1.2865,0.435,0.293
"3127","F",1.1945,0.5105,0.271
"3128","F",1.1655,0.536,0.2115
"3129","F",1.2155,0.4625,0.2045
"3130","M",1.1735,0.526,0.285
"3131","M",1.532,0.74,0.357
"3132","F",1.5105,0.7385,0.3525
"3133","F",0.5565,0.2215,0.1155
"3134","M",0.547,0.2165,0.1105
"3135","M",0.5165,0.1885,0.1145
"3136","M",0.764,0.312,0.1505
"3137","M",0.488,0.188,0.0845
"3138","M",0.6905,0.259,0.151
"3140","M",0.97,0.2885,0.139
"3144","F",1.3235,0.6075,0.3055
"3145","M",0.8465,0.336,0.2405
"3146","M",1.047,0.4315,0.276
"3147","F",1.2785,0.5345,0.2995
"3148","F",1.8745,0.6755,0.4065
"3149","F",1.978,0.6675,0.3125
"3150","F",1.367,0.5835,0.3515
"3151","F",1.742,0.595,0.3025
"3152","F",0.513,0.232,0.142
"3153","M",0.4085,0.1755,0.092
"3154","M",0.56,0.2375,0.1065
"3155","M",0.635,0.29,0.1555
"3156","M",0.875,0.279,0.18
"3157","F",0.397,0.1575,0.089
"3158","M",0.806,0.3415,0.203
"3159","F",0.204,0.097,0.021
"3161","F",0.17,0.076,0.0365
"3162","M",1.194,0.4445,0.238
"3163","F",0.765,0.33,0.2125
"3164","F",1.151,0.4365,0.281
"3165","F",0.6765,0.29,0.158
"3166","F",1.571,0.627,0.271
"3167","M",1.153,0.503,0.2505
"3168","M",1.114,0.3925,0.291
"3169","M",0.9125,0.3595,0.271
"3170","F",0.872,0.3245,0.239
"3171","M",0.792,0.316,0.1455
"3172","F",0.606,0.239,0.1235
"3173","M",0.2265,0.0995,0.0575
"3174","M",0.3955,0.147,0.0765
"3176","F",0.539,0.229,0.1355
"3177","F",0.657,0.291,0.133
"3178","M",0.2505,0.106,0.0535
"3180","F",0.2685,0.1165,0.056
"3181","M",0.551,0.2245,0.0715
"3182","M",1.307,0.4335,0.262
"3183","M",0.9185,0.404,0.1785
"3184","F",1.707,0.6995,0.387
"3185","F",0.8805,0.3645,0.234
"3186","F",0.4965,0.237,0.127
"3187","F",0.632,0.282,0.145
"3188","M",2.2695,0.8835,0.3985
"3189","M",0.9235,0.412,0.2135
"3191","M",1.3315,0.5665,0.347
"3192","F",0.72,0.3105,0.1915
"3193","M",1.032,0.354,0.2045
"3194","F",1.017,0.426,0.2255
"3195","F",0.98,0.2585,0.207
"3198","M",0.478,0.1865,0.115
"3199","F",0.578,0.2395,0.1255
"3200","F",0.6835,0.271,0.145
"3201","F",0.2725,0.1115,0.057
"3202","F",1.511,0.5095,0.284
"3203","F",1.3035,0.501,0.295
"3204","F",1.3955,0.456,0.3205
"3205","M",0.1975,0.0795,0.0375
"3210","M",1.0055,0.3785,0.244
"3211","F",1.1345,0.4535,0.27
"3212","F",1.0835,0.3745,0.326
"3213","F",0.868,0.33,0.243
"3214","F",1.0915,0.452,0.275
"3215","F",1.271,0.531,0.3075
"3216","M",1.4985,0.4125,0.3075
"3217","M",0.388,0.149,0.087
"3218","F",1.2355,0.4435,0.3105
"3219","M",1.402,0.483,0.3205
"3220","M",0.6025,0.216,0.138
"3221","M",0.2775,0.109,0.0515
"3222","M",0.973,0.2985,0.2135
"3223","M",0.753,0.258,0.171
"3224","M",1.3765,0.44,0.3075
"3226","F",0.4135,0.1645,0.106
"3227","F",0.56,0.231,0.137
"3229","F",1.2765,0.4835,0.328
"3230","M",0.96,0.387,0.2385
"3231","M",0.3745,0.158,0.081
"3232","M",0.696,0.2405,0.1625
"3233","F",1.2955,0.5215,0.3225
"3234","F",1.2315,0.4525,0.238
"3235","M",1.383,0.596,0.2565
"3237","M",1.156,0.428,0.289
"3238","M",1.477,0.6375,0.3025
"3239","F",1.5715,0.6935,0.318
"3240","M",0.858,0.377,0.1585
"3241","M",1.4995,0.6265,0.4005
"3242","M",1.467,0.5825,0.303
"3243","F",1.092,0.396,0.2825
"3244","F",1.8165,0.7785,0.4395
"3245","F",1.6365,0.694,0.3005
"3246","M",0.906,0.342,0.219
"3247","F",1.213,0.464,0.306
"3248","M",1.06,0.402,0.28
"3249","M",0.161,0.0725,0.039
"3250","F",0.459,0.197,0.1145
"3252","M",0.6175,0.3,0.142
"3254","F",0.4195,0.194,0.1005
"3256","F",0.8745,0.375,0.193
"3257","M",0.655,0.3185,0.15
"3258","M",0.484,0.2155,0.102
"3259","M",1.4435,0.6145,0.3035
"3260","F",0.8775,0.3345,0.2145
"3261","F",1.3105,0.58,0.288
"3262","F",1.2515,0.5035,0.2925
"3263","M",0.9085,0.398,0.197
"3264","F",1.1705,0.5405,0.3175
"3265","M",0.528,0.2,0.1395
"3266","F",0.6625,0.3005,0.1635
"3267","F",0.4335,0.2105,0.1205
"3268","M",0.3595,0.1415,0.0885
"3269","F",1.107,0.402,0.2415
"3270","F",0.8595,0.3195,0.1775
"3271","M",0.7735,0.297,0.123
"3272","M",0.4365,0.169,0.1075
"3273","F",0.501,0.192,0.1175
"3274","F",0.6735,0.265,0.124
"3275","M",0.415,0.215,0.082
"3276","M",0.4775,0.2,0.0785
"3277","F",0.5555,0.213,0.1075
"3278","M",0.6445,0.26,0.1575
"3279","F",1.428,0.493,0.318
"3280","M",1.6195,0.533,0.353
"3281","M",0.81,0.317,0.157
"3282","F",1.0385,0.414,0.26
"3283","F",0.9715,0.371,0.235
"3284","M",0.868,0.348,0.217
"3285","F",1.522,0.6965,0.3025
"3286","F",1.1255,0.4985,0.227
"3287","M",0.7085,0.305,0.1455
"3288","F",1.0185,0.4695,0.225
"3289","M",0.72,0.275,0.164
"3290","F",0.6175,0.262,0.122
"3291","M",0.738,0.2845,0.17
"3292","F",0.597,0.2615,0.135
"3293","M",1.156,0.5525,0.243
"3294","F",1.22,0.4905,0.3
"3295","M",0.7485,0.3345,0.1315
"3296","F",1.0735,0.437,0.205
